feature_id,layer,title,geometry_type,longitude,latitude,metric,value
aoi_1,aoi,Ningbo Old Bund,Polygon,121.556299,29.879069,study_area,398679384
roads_1,roads,Road network 1,LineString,121.556182,29.877899,connectivity,local
roads_2,roads,Road network 2,LineString,121.555722,29.878059,connectivity,local
roads_3,roads,Road network 3,LineString,121.556991,29.877856,connectivity,local
roads_4,roads,Road network 4,LineString,121.556038,29.878206,connectivity,local
roads_5,roads,Road network 5,LineString,121.556038,29.878206,connectivity,local
roads_6,roads,Road network 6,LineString,121.55554,29.878995,connectivity,local
roads_7,roads,Road network 7,LineString,121.555993,29.878608,connectivity,local
roads_8,roads,Road network 8,LineString,121.556044,29.878964,connectivity,local
roads_9,roads,Road network 9,LineString,121.555567,29.879057,connectivity,local
roads_10,roads,中马路步行街,LineString,121.556544,29.878575,connectivity,local
roads_11,roads,Road network 11,LineString,121.555858,29.879703,connectivity,local
roads_12,roads,Road network 12,LineString,121.556678,29.879561,connectivity,local
roads_13,roads,Road network 13,LineString,121.557127,29.877649,connectivity,local
roads_14,roads,Road network 14,LineString,121.556955,29.87997,connectivity,local
roads_15,roads,Road network 15,Point,121.555876,29.879744,connectivity,local
roads_16,roads,Road network 16,LineString,121.555876,29.879744,connectivity,local
roads_17,roads,Road network 17,LineString,121.556165,29.880543,connectivity,local
roads_18,roads,外滩步行街,LineString,121.55712,29.878822,connectivity,local
roads_19,roads,Road network 19,Point,121.555567,29.879057,connectivity,local
roads_20,roads,Road network 20,LineString,121.55554,29.878995,connectivity,local
buildings_1,buildings,Building footprint 1,Polygon,121.556883,29.877815,density,house
buildings_2,buildings,Building footprint 2,Polygon,121.556746,29.877853,density,house
buildings_3,buildings,Building footprint 3,Polygon,121.556874,29.87797,density,yes
buildings_4,buildings,Building footprint 4,Polygon,121.556902,29.878111,density,house
buildings_5,buildings,Building footprint 5,Polygon,121.55696,29.87838,density,house
buildings_6,buildings,Building footprint 6,Polygon,121.556789,29.878682,density,yes
buildings_7,buildings,Building footprint 7,Polygon,121.556788,29.878768,density,yes
buildings_8,buildings,Building footprint 8,Polygon,121.556585,29.877896,density,yes
buildings_9,buildings,Building footprint 9,Polygon,121.556465,29.877936,density,yes
buildings_10,buildings,Building footprint 10,Polygon,121.556302,29.877986,density,yes
buildings_11,buildings,Building footprint 11,Polygon,121.556716,29.878081,density,house
buildings_12,buildings,Building footprint 12,Polygon,121.556548,29.878129,density,house
buildings_13,buildings,Building footprint 13,Polygon,121.556414,29.878157,density,house
buildings_14,buildings,Building footprint 14,Polygon,121.55668,29.878364,density,house
buildings_15,buildings,Building footprint 15,Polygon,121.556434,29.878674,density,house
buildings_16,buildings,Building footprint 16,Polygon,121.556705,29.878996,density,yes
buildings_17,buildings,Building footprint 17,Polygon,121.556465,29.879041,density,yes
buildings_18,buildings,Building footprint 18,Polygon,121.556536,29.879262,density,yes
buildings_19,buildings,Building footprint 19,Polygon,121.556574,29.879474,density,yes
buildings_20,buildings,Building footprint 20,Polygon,121.55632,29.879541,density,yes
buildings_21,buildings,Building footprint 21,Polygon,121.556607,29.879756,density,yes
buildings_22,buildings,Building footprint 22,Polygon,121.556607,29.879931,density,yes
buildings_23,buildings,Building footprint 23,Polygon,121.556425,29.879996,density,yes
buildings_24,buildings,Building footprint 24,Polygon,121.556252,29.87989,density,yes
buildings_25,buildings,Building footprint 25,Polygon,121.55642,29.880095,density,yes
buildings_26,buildings,Building footprint 26,Polygon,121.556679,29.880098,density,yes
buildings_27,buildings,Building footprint 27,Polygon,121.556461,29.88042,density,yes
buildings_28,buildings,Building footprint 28,Polygon,121.556861,29.879118,density,yes
buildings_29,buildings,Building footprint 29,Polygon,121.556814,29.879731,density,yes
buildings_30,buildings,Building footprint 30,Polygon,121.557137,29.880047,density,commercial
buildings_31,buildings,Building footprint 31,Polygon,121.556847,29.880062,density,yes
buildings_32,buildings,Building footprint 32,Polygon,121.556876,29.880209,density,yes
buildings_33,buildings,Building footprint 33,Polygon,121.556734,29.880362,density,yes
buildings_34,buildings,Building footprint 34,Polygon,121.555445,29.878218,density,yes
buildings_35,buildings,Building footprint 35,Polygon,121.555517,29.878398,density,yes
buildings_36,buildings,Building footprint 36,Polygon,121.555531,29.878522,density,yes
buildings_37,buildings,Building footprint 37,Polygon,121.555565,29.878566,density,yes
buildings_38,buildings,Building footprint 38,Polygon,121.556144,29.878059,density,yes
buildings_39,buildings,Building footprint 39,Polygon,121.555898,29.878104,density,yes
buildings_40,buildings,Building footprint 40,Polygon,121.555665,29.878131,density,yes
buildings_41,buildings,Building footprint 41,Polygon,121.555904,29.878208,density,yes
buildings_42,buildings,Building footprint 42,Polygon,121.556208,29.878261,density,yes
buildings_43,buildings,Building footprint 43,Polygon,121.555952,29.878303,density,house
buildings_44,buildings,Building footprint 44,Polygon,121.555972,29.878455,density,house
buildings_45,buildings,Building footprint 45,Polygon,121.555765,29.878413,density,yes
buildings_46,buildings,Building footprint 46,Polygon,121.55618,29.878633,density,house
buildings_47,buildings,Building footprint 47,Polygon,121.555559,29.878754,density,yes
buildings_48,buildings,Building footprint 48,Polygon,121.556233,29.878803,density,house
buildings_49,buildings,Building footprint 49,Polygon,121.555818,29.87882,density,yes
buildings_50,buildings,Building footprint 50,Polygon,121.555648,29.87895,density,yes
buildings_51,buildings,Building footprint 51,Polygon,121.556189,29.879036,density,yes
buildings_52,buildings,Building footprint 52,Polygon,121.555762,29.879128,density,yes
buildings_53,buildings,Building footprint 53,Polygon,121.55584,29.879306,density,yes
buildings_54,buildings,Building footprint 54,Polygon,121.55611,29.879334,density,yes
buildings_55,buildings,Building footprint 55,Polygon,121.55584,29.879393,density,yes
buildings_56,buildings,Building footprint 56,Polygon,121.555912,29.879469,density,yes
buildings_57,buildings,Building footprint 57,Polygon,121.555954,29.879616,density,yes
buildings_58,buildings,Building footprint 58,Polygon,121.55621,29.879822,density,yes
buildings_59,buildings,Building footprint 59,Polygon,121.55612,29.880051,density,yes
buildings_60,buildings,Building footprint 60,Polygon,121.556164,29.880208,density,yes
